model_name,t2t_eval_1,t2t_eval_2,m2m_eval_1,m2m_eval_2
accounts_receivable_process_109.json,0.83,0.7620238095238095,0.86142460045179,0.8795440933652315
churn_rate_prevention_process_3.json,0.7333333333333334,0.6651515151515152,0.9924902472221083,0.9870129870129869
order_fulfillment_process_7.json,0.81,0.6233501683501683,0.9906572295247725,0.9883720930232558
churn_rate_prevention_process_55.json,0.71,0.6549999999999999,1.0,0.9999999999999999
order_fulfillment_process_22.json,0.8166666666666668,0.7548941798941801,0.9576312795495427,0.9378306878306878
employee_onboarding_process_4.json,0.7399999999999999,0.7033333333333335,0.9767784571449493,0.9796037296037295
startup_due_diligence_for_a_venture_capitalist_186.json,0.7233333333333333,0.6172222222222222,0.8616352201257862,0.7595899470899471
customer_support_process_for_the_ticket_management_10.json,0.7300000000000001,0.5362962962962963,0.7206295753413251,0.6966165413533835
account_payable_process_122.json,0.86,0.7309259259259259,0.8988308365083943,0.9231321310268678
order_fulfillment_process_90.json,0.85,0.7541666666666668,0.835875543382597,0.8270763187429854
account_payable_process_170.json,0.8566666666666666,0.6567715617715618,0.724964122765141,0.813440283548979
loan_application_process_13.json,0.8433333333333333,0.6895238095238095,0.9097673877518512,0.8781106294264188
content_promotion_process_199.json,0.87,0.6664814814814815,0.7462216345058222,0.6928913192071087
order_fulfillment_process_64.json,0.8066666666666666,0.6383501683501683,0.9166910859344454,0.888940840314306
account_payable_process_171.json,0.84,0.755576923076923,0.8485692353773624,0.8769529269529269
project_management_process_45.json,0.8000000000000002,0.6905011655011656,0.9243568521443212,0.9070126443849128
order_fulfillment_process_175.json,0.7833333333333333,0.7388888888888889,0.9194711583356003,0.8806479556479556
purchase_order_workflow_16.json,0.8266666666666667,0.6127635327635327,0.899068683323684,0.8624078624078625
project_management_process_8.json,0.8033333333333333,0.6811279461279461,0.8975123496717287,0.8937799201707163
client_onboarding_process_for_a_marketing_agency_180.json,0.8099999999999999,0.6735185185185185,0.9426968432230328,0.9093843843843844
employee_onboarding_process_14.json,0.83,0.7904629629629629,0.815982996075241,0.7641850722962463
project_management_process_81.json,0.7933333333333333,0.5996969696969696,0.9130544299979046,0.9014841250135368
startup_due_diligence_for_a_venture_capitalist_0.json,0.73,0.5655494505494506,0.8395668449643127,0.763219410473415
startup_due_diligence_for_a_venture_capitalist_68.json,0.7366666666666667,0.7109259259259259,0.9760536257340352,0.9542413381123058
loan_application_process_14.json,0.8433333333333333,0.7341666666666665,0.9796108199808788,0.9824786324786325
content_promotion_process_48.json,0.8533333333333334,0.6090740740740741,0.9313482647220807,0.9108868184955141
purchase_order_workflow_20.json,0.8166666666666668,0.7109126984126984,0.9719428900746472,0.9660493827160493
order_fulfillment_process_2.json,0.8266666666666667,0.7207407407407406,0.9406223027501307,0.9195929638912096
churn_rate_prevention_process_27.json,0.7633333333333333,0.6735858585858586,0.8504899940021639,0.7725782668137905
final_grades_submission_process_43.json,0.8733333333333334,0.6694708994708994,0.8955105509308531,0.9196852243363871
client_onboarding_process_for_a_marketing_agency_5.json,0.7600000000000001,0.598452380952381,0.9793368808841588,0.9707936507936505
loan_application_process_63.json,0.8366666666666666,0.6266666666666666,0.9142669202998644,0.8889009139009137
content_promotion_process_96.json,0.8566666666666666,0.6523593073593074,0.8272747492743385,0.8076751120868767
startup_due_diligence_for_a_venture_capitalist_5.json,0.7233333333333333,0.6176190476190476,1.0,1.0
employee_onboarding_process_195.json,0.8133333333333334,0.6341798941798942,0.7962404067818131,0.7420458920458919
purchase_order_workflow_74.json,0.8033333333333333,0.6063804713804714,0.9769981973829059,0.9708273208273207
accounts_receivable_process_43.json,0.8333333333333334,0.7738095238095237,0.9499999999999998,0.975
customer_support_process_for_the_ticket_management_1.json,0.8133333333333334,0.7399999999999999,0.9081441922563417,0.9261904761904761
purchase_order_workflow_81.json,0.8166666666666668,0.7138888888888889,0.9527442234502947,0.9346346346346346
churn_rate_prevention_process_76.json,0.7733333333333334,0.5721135727018081,0.8649179027871831,0.8285279535279534
budget_preparation_process_73.json,0.8366666666666666,0.7134641284641284,0.9497700474313643,0.932069862504645
customer_support_process_for_the_ticket_management_54.json,0.8300000000000001,0.59,0.6767460114346235,0.6821563794548116
account_payable_process_36.json,0.8733333333333334,0.67,0.8564043349751218,0.809540767874101
customer_support_process_for_the_ticket_management_152.json,0.8300000000000001,0.6280341880341881,0.44651281154403905,0.48091369671558354
budget_preparation_process_54.json,0.8033333333333333,0.7001515151515152,0.8232655480036769,0.7554077937776311
loan_application_process_72.json,0.8566666666666666,0.6540909090909091,0.8639450931902418,0.8605671958990694
content_promotion_process_129.json,0.85,0.6707912457912458,0.9502039972496913,0.9246673143731967
accounts_receivable_process_26.json,0.8466666666666667,0.746547619047619,0.8764659403587864,0.8744358265191599
final_grades_submission_process_96.json,0.9066666666666667,0.6885185185185185,0.8225772783306482,0.8134649672112433
final_grades_submission_process_1.json,0.8766666666666666,0.6959090909090909,0.8048592278961123,0.8711626064567239
accounts_receivable_process_144.json,0.83,0.7530952380952382,0.7488749274637211,0.7059442024504136
customer_support_process_for_the_ticket_management_25.json,0.7966666666666667,0.5734656084656085,0.743473780827637,0.7180083645600887
process_for_optimizing_a_process_27.json,0.8233333333333334,0.6413675213675214,0.8962503150862254,0.8751321561263081
project_management_process_53.json,0.7966666666666665,0.6761111111111111,0.9052552296509019,0.8767439244686747
order_fulfillment_process_17.json,0.82,0.6239342139342139,0.9020056827549147,0.858447306486522
accounts_receivable_process_2.json,0.8133333333333335,0.787008547008547,0.8772781966074691,0.86575758314937
