model_name,t2t_eval_1,t2t_eval_2,m2m_eval_1,m2m_eval_2
3_7.json,0.88,0.7066666666666667,1.0,1.0
3_3.json,0.9333333333333332,0.7333333333333334,0.911586340212735,0.9091078004121481
8_2.json,0.8733333333333334,0.6033333333333334,0.7670657222522898,0.773733121978736
2_2.json,0.9033333333333333,0.5476262626262627,0.7454245393419453,0.7174094918818872
10_11.json,0.9066666666666667,0.6790909090909091,0.7869495045653051,0.7601401104049744
9_2.json,0.8566666666666666,0.5432517482517483,0.7900023892768185,0.7616590077520033
9_5.json,0.9066666666666667,0.6304166666666667,0.6861006732317901,0.725050994756877
1_1.json,0.8566666666666666,0.6729914529914529,0.7551170181562902,0.7302958220298968
9_4.json,0.8733333333333334,0.6417592592592593,0.9414633806229503,0.9359190192523527
7_1.json,0.8733333333333334,0.6417592592592593,0.8923662052237243,0.8897704147704147
9_3.json,0.8966666666666666,0.7054761904761905,0.8916857444393429,0.9141972578505086
10_6.json,0.8833333333333333,0.5666666666666667,0.7010934738477687,0.7217673394143982
9_1.json,0.8933333333333334,0.593048245614035,0.5882904446922811,0.6685032659876547
3_8.json,0.9499999999999998,0.8533068783068783,0.8319073062437603,0.8161615484269947
5_2.json,0.92,0.9044444444444445,0.7822642004460186,0.8253968253968252
2_1.json,0.8666666666666667,0.567479674796748,0.7195009401233509,0.679363199524032
1_3.json,0.8433333333333333,0.5883333333333333,0.7801783332877307,0.7034296585767174
6_2.json,0.92,0.66,0.8860215053763442,0.9555555555555554
10_5.json,0.9499999999999998,0.6750000000000002,0.9195340501792115,0.9074074074074074
6_4.json,0.8366666666666666,0.5862531328320802,0.7928254704464273,0.7509013578670433
6_3.json,0.8666666666666667,0.6055555555555555,0.7397250400691835,0.7807101466702915
3_2.json,0.8866666666666667,0.7044444444444444,0.9357008161001504,0.9280952380952381
3_6.json,0.92,0.6524242424242425,0.9112989908820023,0.8977237263515102
10_12.json,0.89,0.7783333333333333,0.9262942587106785,0.8758169934640522
10_8.json,0.9033333333333333,0.671574074074074,0.6685636867912249,0.679028379028379
10_7.json,0.91,0.6901190476190475,0.7286905612852719,0.7214285714285714
10_14.json,0.8966666666666666,0.5493434343434344,0.5321646743936862,0.5679525900456133
8_3.json,0.8566666666666666,0.5301851851851852,0.8799206839722719,0.8491538188906609
1_4.json,0.87,0.4956060606060606,0.7838746234716245,0.7534446649029981
3_1.json,0.9700000000000001,0.8659523809523809,0.8798962560125015,0.8296277273451187
10_1.json,0.7733333333333334,0.4977777777777778,0.6666800506865785,0.6833333333333332
1_2.json,0.8533333333333334,0.5743939393939393,0.7952728387817748,0.7602318705259882
10_10.json,0.9033333333333333,0.6548653198653199,0.7089414665218214,0.7361774160082192
6_1.json,0.77,0.5253508771929825,0.6816262290773573,0.6877777696823607
10_13.json,0.9133333333333334,0.8316666666666667,1.0,1.0
5_4.json,0.8866666666666667,0.61,0.7427479336440772,0.7657283986391491
