description,metric,n,range,mean,median,SD,CV_pct,MedianCV_pct,CI_95_lower,CI_95_upper,CI_width,mean_median_diff_pct
logistics_signavio_2.txt,model_eval_1,10,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
manufacturing_aris_3.txt,model_eval_1,10,0.0756772611977774,0.953284252781663,0.9480259652276111,0.021985501812791186,2.3062902537871537,1.4249873999919653,0.9375567722286522,0.9690117333346737,0.03145496110602153,0.5546564911636601
logistics_cimino_3.txt,model_eval_1,10,0.0,0.955056179775281,0.9550561797752809,1.1702778228589004e-16,1.2253497204052014e-14,0.0,0.9550561797752809,0.9550561797752811,2.220446049250313e-16,1.1624688140192817e-14
tourism_fouad_3.txt,model_eval_1,10,0.08452086467881148,0.9224794437694269,0.9017351214220845,0.032951009369957776,3.5720047305676177,0.7198458475529886,0.8989077116579236,0.9460511758809302,0.04714346422300664,2.3004895622372525
tourism_web_5.txt,model_eval_1,10,0.07692307692307687,0.960984060984061,0.972972972972973,0.029964300722989303,3.1180850900175643,2.6353276353276374,0.9395488915292888,0.9824192304388332,0.04287033890954439,1.2321937321937388
healthcare_klessascheck_1.txt,model_eval_1,10,0.1151079136690647,0.9592006394884093,1.0,0.053391899648567887,5.566291081399249,0.0,0.9210063753519135,0.997394903624905,0.07638852827299147,4.079936051159072
gdpr_7_right_to_be_forgotten.txt,model_eval_1,10,0.11538461538461542,0.9884615384615385,1.0,0.036487819155789004,3.6913747005856576,0.0,0.9623597250446362,1.014563351878441,0.05220362683380475,1.1538461538461497
logistics_klessascheck_5.txt,model_eval_1,10,0.1136689520800177,0.9332707859514185,0.9333333333333333,0.02801844308394482,3.002177235772097,0.0,0.9132275991967727,0.9533139727060644,0.040086373509291784,0.006701505205157301
gdpr_4_right_of_portability.txt,model_eval_1,10,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
gdpr_5_right_to_withdraw.txt,model_eval_1,10,0.0908266557784243,0.9550424871627821,0.96994504840164,0.03241090832101542,3.393661408436497,0.03315584184576047,0.9318571200665616,0.9782278542590025,0.046370734192440866,1.5364335601708214
