report,llm,example,direction,data_metric,stat,median,min,max
report_anthropic_domain_t2t,anthropic,domain,t2t,model_eval_2,range,0.005224137593139662,0.0,0.042256828574959826
report_anthropic_domain_t2t,anthropic,domain,t2t,model_eval_2,mean,0.9264271382868747,0.8099185233453954,1.0
report_anthropic_domain_t2t,anthropic,domain,t2t,model_eval_2,median,0.9260162369690118,0.80675428988682,1.0
report_anthropic_domain_t2t,anthropic,domain,t2t,model_eval_2,SD,0.002137157603323521,0.0,0.016692989352032377
report_anthropic_domain_t2t,anthropic,domain,t2t,model_eval_2,CV_pct,0.24543266871798755,0.0,1.932993682939262
report_anthropic_domain_t2t,anthropic,domain,t2t,model_eval_2,MedianCV_pct,0.08320289648848235,0.0,1.9968695157235765
report_anthropic_domain_t2t,anthropic,domain,t2t,model_eval_2,CI_width,0.0030576609013704035,0.0,0.02388289042854219
report_anthropic_domain_t2t,anthropic,domain,t2t,model_eval_2,mean_median_diff_pct,0.10243866530910001,0.0,1.002229330231674
report_anthropic_domain_t2t,anthropic,domain,t2t,text_eval_1,n,10.0,10.0,10.0
report_anthropic_domain_t2t,anthropic,domain,t2t,text_eval_1,range,0.029243660469849903,0.003405630588531494,0.05293381214141846
report_anthropic_domain_t2t,anthropic,domain,t2t,text_eval_1,mean,0.7750078680614632,0.7166152358055115,0.8404178619384766
report_anthropic_domain_t2t,anthropic,domain,t2t,text_eval_1,median,0.77441131696105,0.7139162123203278,0.8449728488922119
report_anthropic_domain_t2t,anthropic,domain,t2t,text_eval_1,SD,0.0099293358409126,0.0016022703132795362,0.019986336719232688
report_anthropic_domain_t2t,anthropic,domain,t2t,text_eval_1,CV_pct,1.29154766752489,0.21912736706359007,2.5815627066301343
report_anthropic_domain_t2t,anthropic,domain,t2t,text_eval_1,MedianCV_pct,0.6296406075196241,0.0,2.042536655407205
report_anthropic_domain_t2t,anthropic,domain,t2t,text_eval_1,CI_width,0.014206037930997756,0.002292390267672584,0.028594727994316393
report_anthropic_domain_t2t,anthropic,domain,t2t,text_eval_1,mean_median_diff_pct,0.36135795714467794,0.0049453904739612566,1.1540888626423789
report_anthropic_domain_t2t,anthropic,domain,t2t,text_eval_2,n,10.0,10.0,10.0
report_anthropic_domain_t2t,anthropic,domain,t2t,text_eval_2,range,0.06773693197308585,0.001702815294265747,0.18409212881868542
report_anthropic_domain_t2t,anthropic,domain,t2t,text_eval_2,mean,0.570471733268316,0.46215235392252607,0.8077452618004095
report_anthropic_domain_t2t,anthropic,domain,t2t,text_eval_2,median,0.5701977211828669,0.4621955511115846,0.8243936565187242
report_anthropic_domain_t2t,anthropic,domain,t2t,text_eval_2,SD,0.021811896179043024,0.000801135156639768,0.05451735973173733
report_anthropic_domain_t2t,anthropic,domain,t2t,text_eval_2,CV_pct,3.765426861572543,0.1472204194533975,6.9921198827679945
report_anthropic_domain_t2t,anthropic,domain,t2t,text_eval_2,MedianCV_pct,1.4166815631415524,0.0,6.285309214362318
report_anthropic_domain_t2t,anthropic,domain,t2t,text_eval_2,CI_width,0.03120658112798716,0.001146195133836292,0.07799873955877068
report_anthropic_domain_t2t,anthropic,domain,t2t,text_eval_2,mean_median_diff_pct,1.1712498772008644,0.10403445644443343,2.796574702363399
report_anthropic_mad_m2m,anthropic,mad,m2m,model_eval_1,n,10.0,10.0,10.0
report_anthropic_mad_m2m,anthropic,mad,m2m,model_eval_1,range,0.0416717535647156,0.0,0.24137931034482757
report_anthropic_mad_m2m,anthropic,mad,m2m,model_eval_1,mean,0.9617096935203521,0.6413793103448276,1.0
report_anthropic_mad_m2m,anthropic,mad,m2m,model_eval_1,median,0.9632057824831998,0.6896551724137931,1.0
report_anthropic_mad_m2m,anthropic,mad,m2m,model_eval_1,SD,0.015183503319523653,0.0,0.09524274542218718
report_anthropic_mad_m2m,anthropic,mad,m2m,model_eval_1,CV_pct,1.655516488485623,0.0,14.821557797946472
report_anthropic_mad_m2m,anthropic,mad,m2m,model_eval_1,MedianCV_pct,0.36752922314296466,0.0,6.279323465430798
report_anthropic_mad_m2m,anthropic,mad,m2m,model_eval_1,CI_width,0.02172324791289952,0.0,0.1362651113627349
report_anthropic_mad_m2m,anthropic,mad,m2m,model_eval_1,mean_median_diff_pct,0.6430004751750704,0.0,8.101265822784807
report_anthropic_mad_m2m,anthropic,mad,m2m,model_eval_2,n,10.0,10.0,10.0
report_anthropic_mad_m2m,anthropic,mad,m2m,model_eval_2,range,0.05615710072179165,0.0,0.30243221690590105
report_anthropic_mad_m2m,anthropic,mad,m2m,model_eval_2,mean,0.9467558753741162,0.5156565656565657,1.0
report_anthropic_mad_m2m,anthropic,mad,m2m,model_eval_2,median,0.948097238240008,0.5505050505050505,1.0
