description,metric,n,range,mean,median,SD,CV_pct,MedianCV_pct,CI_95_lower,CI_95_upper,CI_width,mean_median_diff_pct
M_j03.json,model_eval_1,10,0.08440785885607283,0.848713121717606,0.8378028725072403,0.028571637102095048,3.366465814063582,2.5757859070965305,0.8282742038017347,0.8691520396334774,0.04087783583174276,1.3022453811497856
X_g03.json,model_eval_1,10,0.11997731388865396,0.9408576992872717,0.9392388485234284,0.03324640966525898,3.533627847276389,2.2107922300882743,0.9170746505344989,0.9646407480400445,0.047566097505545635,0.1723577305589794
M_j01.json,model_eval_1,10,0.11933024103775669,0.8309194273754306,0.8338448384958235,0.04151333581021233,4.996072355816462,4.7410312266238925,0.8012225759137159,0.8606162788371452,0.05939370292342927,0.35083399037044705
E_j02.json,model_eval_1,10,0.14116760349920665,0.6636132200862952,0.6613347612507705,0.03611234311643275,5.4417757246814284,2.1026002488697877,0.6377800060471729,0.6894464341254175,0.05166642807824462,0.344524281653588
G_g01.json,model_eval_1,10,0.06301320308713443,0.8755992586871642,0.881410502350072,0.024391506849698662,2.785692953448846,2.276825294935366,0.8581506258152014,0.8930478915591269,0.03489726574392549,0.6593118243331069
E_j01.json,model_eval_1,10,0.11775356752513788,0.8490433714830881,0.839237030715568,0.037753478537963035,4.446590104344868,2.557387530255537,0.8220361598865409,0.8760505830796352,0.05401442319309435,1.1684828491372434
V_g01.json,model_eval_1,10,0.1281391405375647,0.8007709760545672,0.804727768555235,0.04293909738808805,5.3622194949735595,3.831661636550885,0.7700541962018514,0.8314877559072829,0.061433559705431406,0.4916932974453759
X_g01.json,model_eval_1,10,0.08613244698086697,0.8477675756696337,0.847816427915499,0.028981201668040794,3.4185315055425605,2.3898859706736557,0.8270356729130721,0.8684994784261952,0.04146380551312312,0.005762125414989102
M_k05.json,model_eval_1,10,0.15753959932295503,0.8423220939012965,0.8345297469432413,0.051887588442555706,6.160064993930446,3.6701049809022566,0.8052039491747507,0.8794402386278424,0.07423628945309169,0.9337410663427406
R_g01.json,model_eval_1,10,0.10147654187431354,0.6566737751509445,0.6545116100313187,0.030267040990701904,4.609144165037603,2.749812468550142,0.6350220383549487,0.6783255119469402,0.04330347359199149,0.3303478634278598
E_j04.json,model_eval_1,10,0.20622936313392026,0.8482817453019246,0.8532486334852327,0.05804310884280511,6.842432854917339,2.3220274341743328,0.806760206547217,0.8898032840566321,0.08304307750941509,0.582114988338169
