description,metric,n,range,mean,median,SD,CV_pct,MedianCV_pct,CI_95_lower,CI_95_upper,CI_width,mean_median_diff_pct
customer_support_process_for_the_ticket_management_46.txt,model_eval_1,10,0.07895291150134098,0.9126604662868021,0.9319038988701366,0.033260328389023125,3.6443266272225183,0.0,0.8888674606788622,0.9364534718947419,0.04758601121587969,2.064958909031898
account_payable_process_122.txt,model_eval_1,10,0.021207977310867432,0.9957584045378265,1.0,0.008942068382335192,0.8980158582227166,0.0,0.9893616341668611,1.0021551749087918,0.012793540741930731,0.42415954621735086
process_for_optimizing_a_process_185.txt,model_eval_1,10,0.08733532733738791,0.9454349256006852,0.9471655321603059,0.025840470155469576,2.733183369447849,1.4549991111124916,0.9269497668214411,0.9639200843799293,0.03697031755848812,0.18271426702716514
customer_support_process_for_the_ticket_management_131.txt,model_eval_1,10,0.24674685651303518,0.920152900555593,0.9655172413793104,0.08438403604764712,9.17065370295476,0.0,0.8597881976152311,0.9805176034959548,0.12072940588072378,4.6984495853135915
order_fulfillment_process_40.txt,model_eval_1,10,0.05152467478048872,0.9880759194712683,1.0,0.0181680043657573,1.8387255480812876,0.0,0.9750793120805186,1.001072526862018,0.025993214781499407,1.1924080528731729
project_management_process_44.txt,model_eval_1,10,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
customer_support_process_for_the_ticket_management_35.txt,model_eval_1,10,0.06506541374648156,0.8165083287593321,0.8368427363197847,0.027913009060249988,3.4185822822730105,0.0,0.7965405649616606,0.8364760925570036,0.03993552759534302,2.4298959264291367
process_for_optimizing_a_process_92.txt,model_eval_1,10,0.014069870669146,0.9943720517323416,1.0,0.007265649971319289,0.7306772106739589,0.0,0.9891745188489928,0.9995695846156903,0.010395065766697575,0.5627948267658445
startup_due_diligence_for_a_venture_capitalist_68.txt,model_eval_1,10,0.02631578947368418,0.994736842105263,1.0,0.011095711088310091,1.1154418554385808,0.0,0.9867994485515851,1.0026742356589409,0.015874787107355792,0.526315789473697
churn_rate_prevention_process_14.txt,model_eval_1,10,0.07272727272727275,0.9854545454545456,1.0,0.030664510644057022,3.111712334729033,0.0,0.9635184759971085,1.0073906149119827,0.04387213891487418,1.4545454545454417
content_promotion_process_109.txt,model_eval_1,10,0.022222222222222254,0.9977777777777778,1.0,0.007027283689263075,0.7042934655163438,0.0,0.9927507618604484,1.0028047936951072,0.010054031834658805,0.22222222222222365
accounts_receivable_process_101.txt,model_eval_1,10,0.1058790593505039,0.9833786832912704,0.9925373134328358,0.032245202928141425,3.2790219552268454,0.7518796992481225,0.9603118546921989,1.006445511890342,0.046133657198143,0.9227492022329021
customer_support_process_for_the_ticket_management_152.txt,model_eval_1,10,0.1428571428571429,0.9857142857142858,1.0,0.04517539514526258,4.583011101693305,0.0,0.9533977548171686,1.018030816611403,0.06463306179423434,1.4285714285714235
loan_application_process_4.txt,model_eval_1,9,0.04255319148936165,0.9952718676122932,1.0,0.014184397163120551,1.4251781472684069,0.0,0.9843687747744485,1.006174960450138,0.021806185675689482,0.47281323877067516
budget_preparation_process_33.txt,model_eval_1,10,0.0284805288044071,0.9913548456702841,0.9927536231884058,0.010021716516658197,1.0109111344366528,0.7299270072992734,0.9841857415504124,0.9985239497901558,0.01433820823974341,0.1408987572998475
account_payable_process_2.txt,model_eval_1,10,0.072852469772416,0.9498639452078537,0.9669326928325783,0.02642079479083118,2.7815346528443774,0.8758766269313634,0.9309636471929988,0.9687642432227085,0.03780059602970964,1.7652467179202165
project_management_process_3.txt,model_eval_1,10,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
churn_rate_prevention_process_3.txt,model_eval_1,10,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
order_fulfillment_process_143.txt,model_eval_1,10,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
project_management_process_81.txt,model_eval_1,10,0.023269157650962713,0.9375700019796319,0.9304527072250277,0.011153807361820704,1.1896506221690113,0.0,0.929591048855487,0.9455489551037768,0.015957906248289744,0.7649281580179129
project_management_process_2.txt,model_eval_1,10,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
final_grades_submission_process_1.txt,model_eval_1,10,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
customer_support_process_for_the_ticket_management_25.txt,model_eval_1,10,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
client_onboarding_process_for_a_marketing_agency_172.txt,model_eval_1,10,0.03448275862068961,0.9965517241379309,1.0,0.010904405724718538,1.0942137232416527,0.0,0.9887511821972474,1.0043522660786144,0.01560108388136694,0.34482758620690834
content_promotion_process_2.txt,model_eval_1,10,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
client_onboarding_process_for_a_marketing_agency_6.txt,model_eval_1,10,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
churn_rate_prevention_process_23.txt,model_eval_1,7,0.010744906405466104,0.9984650133706477,1.0,0.004061192887075466,0.40674363474845965,0.0,0.9947090363959366,1.002220990345359,0.00751195394942239,0.1534986629352253
final_grades_submission_process_126.txt,model_eval_1,10,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
customer_support_process_for_the_ticket_management_10.txt,model_eval_1,10,0.03667481662591687,0.7070904645476773,0.721760391198044,0.018938793868984925,2.678411719368891,0.0,0.6935424675627441,0.7206384615326106,0.027095993969866505,2.032520325203246
budget_preparation_process_16.txt,model_eval_1,10,0.14754098360655743,0.9852459016393442,1.0,0.04665655564182856,4.735523950335345,0.0,0.9518698123521576,1.0186219909265308,0.06675217857437321,1.4754098360655776
order_fulfillment_process_7.txt,model_eval_1,10,0.1799209226316968,0.9698093962713153,0.9907407407407407,0.05537068103008472,5.709439529352026,0.9345794392523408,0.9301995972081454,1.0094191953344853,0.07921959812633994,2.112696451119568
order_fulfillment_process_22.txt,model_eval_1,10,0.06410594870564101,0.9826383589134136,0.9863111922299721,0.016978334274317008,1.7278314163403297,0.0,0.9704927902384024,0.9947839275884247,0.024291137350022307,0.37238078057844565
budget_preparation_process_162.txt,model_eval_1,10,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
purchase_order_workflow_81.txt,model_eval_1,10,0.06939553327443448,0.9845976250928349,1.0,0.023896654284054936,2.427047727420812,0.0,0.9675029884211427,1.001692261764527,0.034189273343384285,1.5402374907165117
employee_onboarding_process_195.txt,model_eval_1,10,0.22916666666666663,0.9395833333333332,0.9895833333333333,0.08971512699843698,9.548394891186199,1.0526315789473761,0.875404997664966,1.0037616690017004,0.12835667133673434,5.0526315789473735
churn_rate_prevention_process_102.txt,model_eval_1,10,0.1428571428571429,0.9714285714285713,1.0,0.05639328082317134,5.805190672973521,0.0,0.9310872485413726,1.01176989431577,0.08068264577439743,2.857142857142869
churn_rate_prevention_process_34.txt,model_eval_1,10,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
process_for_optimizing_a_process_37.txt,model_eval_1,10,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
account_payable_process_3.txt,model_eval_1,10,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
client_onboarding_process_for_a_marketing_agency_14.txt,model_eval_1,10,0.07999999999999996,0.9881722488038278,1.0,0.026804251193491804,2.712507988960231,0.0,0.968997642603191,1.0073468550044646,0.03834921240127365,1.1827751196172187
startup_due_diligence_for_a_venture_capitalist_45.txt,model_eval_1,10,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
customer_support_process_for_the_ticket_management_48.txt,model_eval_1,10,0.023416742651355404,0.9479043366789028,0.9502460109440384,0.007405024216029326,0.7811995292661833,0.0,0.9426071014670863,0.9532015718907194,0.010594470423633151,0.24642821313284585
loan_application_process_72.txt,model_eval_1,9,0.07958309450907697,0.8819085681407831,0.8790447651444279,0.024969995502199912,2.8313587603351005,2.2696556178786502,0.862714930512749,0.9011022057688173,0.03838727525606833,0.3257857972551286
purchase_order_workflow_16.txt,model_eval_1,10,0.07510362314111774,0.9862615597013782,1.0,0.025575907566733103,2.5932175207636616,0.0,0.9679656575970483,1.004557461805708,0.036591804208659706,1.3738440298621812
startup_due_diligence_for_a_venture_capitalist_186.txt,model_eval_1,10,0.07547169811320753,0.9792452830188679,0.9905660377358491,0.030096820412592193,3.0734710633282973,0.9523809523809521,0.9577153146889612,1.0007752513487747,0.04305993665981345,1.1428571428571428
customer_support_process_for_the_ticket_management_22.txt,model_eval_1,10,0.020765989145078878,0.997923401085492,1.0,0.0065667823564781996,0.6580447306211255,0.0,0.9932258079767791,1.002620994194205,0.009395186217425966,0.20765989145079544
accounts_receivable_process_2.txt,model_eval_1,10,0.03635896571678188,0.9802847263167717,0.9741415630174226,0.01813167002693269,1.849633023974463,1.0779263643857768,0.9673141109462241,0.9932553416873192,0.02594123074109511,0.6306232618101709
account_payable_process_170.txt,model_eval_1,10,0.03481191848137899,0.9931026533900372,1.0,0.012109115399965783,1.2193216238654006,0.0,0.984440314063476,1.0017649927165986,0.017324678653122594,0.6897346609962773
accounts_receivable_process_60.txt,model_eval_1,10,0.04371812663966623,0.9733752615026658,0.9777777777777777,0.013814434369445202,1.419230066328059,0.0,0.9634930104744047,0.983257512530927,0.01976450205652225,0.4502573463182626
churn_rate_prevention_process_55.txt,model_eval_1,10,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
purchase_order_workflow_4.txt,model_eval_1,10,0.15395363967528364,0.9644707023109497,0.9909255898366606,0.05459244488679694,5.660352850116549,0.9157509157509206,0.9254176198473566,1.0035237847745428,0.07810616492718625,2.6697148400488477
churn_rate_prevention_process_27.txt,model_eval_1,10,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
startup_due_diligence_for_a_venture_capitalist_0.txt,model_eval_1,9,0.010744906405466104,0.9988061215105036,1.0,0.0035816354684887015,0.35859166172031076,0.0,0.996053032776794,1.0015592102442132,0.005506177467419215,0.11938784894963694
