description,metric,n,range,mean,median,SD,CV_pct,MedianCV_pct,CI_95_lower,CI_95_upper,CI_width,mean_median_diff_pct
80_ground_truth.json,model_eval_1,10,0.051551933904875114,0.9835229675290528,0.9895833333333333,0.0195503885314434,1.9877917625615482,1.0526315789473761,0.9695374620786751,0.9975084729794305,0.027971010900755378,0.6124159128536072
22_ground_truth.json,model_eval_1,10,0.025000000000000022,0.9974999999999999,1.0,0.007905694150420955,0.7925507920221508,0.0,0.9918446070930044,1.0031553929069954,0.011310785813991031,0.2500000000000058
30_ground_truth.json,model_eval_1,9,0.07085930228957193,0.9203091998787121,0.9193259723728019,0.021826967299961482,2.3716993487447553,0.9767407738655105,0.9035315075944863,0.9370868921629378,0.03355538456845153,0.10695091136960319
52_ground_truth.json,model_eval_1,10,0.06938454756291557,0.8668909205911104,0.8739060433557588,0.024530468124489464,2.8297064303964303,1.315953967930199,0.8493428808115636,0.8844389603706572,0.03509607955909355,0.8027319204374297
77_ground_truth.json,model_eval_1,10,0.2662852696539669,0.8919334331496641,0.8606669434324471,0.10093671417310626,11.316619651387072,9.654755905199574,0.8197276575999455,0.9641392086993827,0.14441155109943726,3.632821029761217
51_ground_truth.json,model_eval_1,10,0.0,0.9354838709677418,0.9354838709677419,1.1702778228589004e-16,1.25098663822848e-14,0.0,0.9354838709677417,0.9354838709677419,2.220446049250313e-16,1.1867901297717193e-14
71_ground_truth.json,model_eval_1,10,0.02814146983250332,0.9286383631976809,0.9237160063980084,0.009864920026142985,1.0622994286143896,0.6857336117871269,0.9215814245301313,0.9356953018652305,0.014113877335099279,0.5328863812663568
60_ground_truth.json,model_eval_1,10,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
53_ground_truth.json,model_eval_1,10,0.0629851199908279,0.8137234023419095,0.811112950590078,0.021806756190144234,2.679873299377163,2.3528051337836815,0.7981237887044713,0.8293230159793478,0.03119922727487645,0.32183578747354696
74_ground_truth.json,model_eval_1,10,0.11123568239176851,0.9442550267812493,0.9538435430616322,0.03727377222021513,3.9474264010299147,3.7144143887874135,0.9175909764119409,0.9709190771505577,0.053328100738616824,1.005250426040088
58_ground_truth.json,model_eval_1,10,0.036363636363636376,0.9709090909090907,0.9636363636363636,0.015332255322028513,1.5791648739917012,0.0,0.9599410561803722,0.9818771256378093,0.02193606945743709,0.7547169811320573
79_ground_truth.json,model_eval_1,8,0.06430488816531321,0.9129770744941023,0.9249753521024062,0.02454162177445738,2.688087407677389,1.0393758885420001,0.8924597652399326,0.9334943837482719,0.04103461850833923,1.2971456570202324
43_ground_truth.json,model_eval_1,10,0.12086771539007757,0.866375942565929,0.8688361837449293,0.03925886641268834,4.531389260003701,2.970720747427901,0.8382918413570326,0.8944600437748254,0.056168202417792745,0.28316513803511384
28_ground_truth.json,model_eval_1,10,0.1336920266115169,0.9061310322397977,0.9215623952375029,0.04470639139510547,4.9337667295864565,2.564569576821231,0.8741500064142815,0.938112058065314,0.06396205165103241,1.6744783725390906
65_ground_truth.json,model_eval_1,10,0.021981681931723562,0.9236884666818057,0.9150026493073954,0.01131204919502904,1.2246606516226903,0.016683073987375938,0.9155963141694617,0.9317806191941497,0.01618430502468793,0.9492669098810793
40_ground_truth.json,model_eval_1,8,0.08911717388914142,0.9077042034884042,0.9064822293994503,0.02844864658723277,3.134131854617571,1.749799505154041,0.883920539749428,0.9314878672273804,0.04756732747795245,0.13480397621952542
8_ground_truth.json,model_eval_1,10,0.029003539707103898,0.9739402205204467,0.9758737898342537,0.00888413789568677,0.912185132978627,0.4953430796966409,0.9675848911231715,0.9802955499177219,0.012710658794550467,0.19813723187865862
34_ground_truth.json,model_eval_1,10,0.0320613690007866,0.9656254917387883,0.975,0.015235811664723474,1.5778178802310368,0.0,0.9547264486463599,0.9765245348312167,0.02179808618485679,0.9614880267909403
49_ground_truth.json,model_eval_1,10,0.1690066958946418,0.9166158705852565,0.9153097919825867,0.049363290485144665,5.3853846599477215,2.2511421859126535,0.8813034998352722,0.9519282413352408,0.07062474149996856,0.14269251941911862
16_ground_truth.json,model_eval_1,10,0.2179222023860351,0.7803656860187579,0.7651831157163058,0.07360600449293789,9.432245139898244,9.213671710211047,0.727711122383827,0.8330202496536888,0.10530912726986186,1.9841747668777703
37_ground_truth.json,model_eval_1,10,0.07072495053067096,0.9807782861814107,0.9894887720974678,0.026112308236616266,2.6624068461265233,1.0622887493964246,0.9620986661535126,0.9994579062093089,0.03735924005579627,0.8803016427961087
73_ground_truth.json,model_eval_1,10,0.4089644097247439,0.7598887341472003,0.7874840622210487,0.13460238663908788,17.71343363711636,11.370233590213436,0.6635999873047952,0.8561774809896053,0.19257749368481014,3.504239564673549
