description,metric,n,range,mean,median,SD,CV_pct,MedianCV_pct,CI_95_lower,CI_95_upper,CI_width,mean_median_diff_pct
80_ground_truth.json,model_eval_1,10,0.13798759268344885,0.8764146541328903,0.8676016096380199,0.050678304215265424,5.782457421984309,4.875411332593836,0.840161579229618,0.9126677290361627,0.07250614980654468,1.0157939308742623
22_ground_truth.json,model_eval_1,10,0.09999999999999998,0.9226761933477581,0.925,0.0369342761736251,4.002951028747797,3.5455912661214084,0.8962550038199276,0.9490973828755885,0.052842379055660915,0.2512223407829153
30_ground_truth.json,model_eval_1,10,0.13815606072297082,0.8477817869632664,0.8471652063316275,0.03834270620056917,4.522709356367728,2.1374919006477135,0.8203530672890851,0.8752105066374478,0.054857439348362735,0.07278162830941114
52_ground_truth.json,model_eval_1,10,0.1592390593133879,0.8353697323146185,0.8423126938081423,0.052965197888314886,6.340330016693378,4.642626488799343,0.7974807122291097,0.8732587524001274,0.07577804017101775,0.8242736390608444
77_ground_truth.json,model_eval_1,10,0.08771384108253832,0.8126571873203176,0.8214285714285714,0.027737552014287035,3.413192234938541,0.0,0.7928149379321768,0.8324994367084583,0.03968449877628144,1.067820674048294
51_ground_truth.json,model_eval_1,10,0.02639296187683282,0.9302052785923752,0.9354838709677419,0.011128249830504552,1.1963219395340645,0.0,0.922244608224757,0.9381659489599935,0.015921340735236544,0.5642633228840216
71_ground_truth.json,model_eval_1,10,0.15027648122834092,0.8533627359524963,0.8632510822655786,0.05859445308923448,6.86630088479704,6.437577764744698,0.8114467892835383,0.8952786826214544,0.08383189333791607,1.1454774301736788
60_ground_truth.json,model_eval_1,10,0.25971325571557324,0.8373555789277779,0.8467227262741642,0.07874530639720569,9.404046307070404,5.338697612793149,0.7810245801837609,0.8936865776717949,0.11266199748803407,1.106282736451944
53_ground_truth.json,model_eval_1,10,0.12423509228004359,0.8253045429205604,0.8268766798441264,0.03965075189102352,4.804378242086097,3.4975744018415655,0.7969401037283874,0.8536689821127335,0.05672887838434604,0.19012955158710118
74_ground_truth.json,model_eval_1,10,0.1513151906115463,0.9152800069049059,0.9366641546471819,0.05925981859319292,6.474501589255166,3.5325612846347427,0.8728880864276966,0.9576719273821152,0.0847838409544186,2.2830112197824968
58_ground_truth.json,model_eval_1,10,0.08285175879396978,0.9604732875307548,0.9552346570397112,0.030223984603803575,3.1467803421691505,2.293850407006741,0.9388523514184729,0.9820942236430367,0.04324187222456377,0.5484129425620053
79_ground_truth.json,model_eval_1,10,0.05093239341126132,0.8382528146996021,0.8379253657040928,0.017649159746961816,2.105469786377825,1.8928697111853254,0.8256273663900335,0.8508782630091707,0.025250896619137153,0.03907853955872847
43_ground_truth.json,model_eval_1,10,0.2875179718558992,0.7574821351908441,0.7727452116613138,0.08494709798156425,11.214402826828678,7.661103131997462,0.6967146420075654,0.8182496283741227,0.12153498636655735,1.975175806998
28_ground_truth.json,model_eval_1,10,0.1312146544468078,0.8253822375546317,0.8295108590738081,0.039625334399173914,4.800846516466394,2.443726842979427,0.7970359809407856,0.8537284941684777,0.05669251322769209,0.497717597547329
65_ground_truth.json,model_eval_1,10,0.22204122033530205,0.8317091754579268,0.8368882473499866,0.05728290065529823,6.88737149301727,2.760313099840121,0.7907314568801277,0.8726868940357259,0.08195543715559817,0.6188486824207853
40_ground_truth.json,model_eval_1,10,0.1692004918448704,0.8931737904144919,0.8841630406139968,0.05019489175633157,5.619834828901307,2.93133282517338,0.8572665279521501,0.9290810528768336,0.07181452492468354,1.0191276254024018
8_ground_truth.json,model_eval_1,10,0.1733508841582062,0.8499030081107686,0.8492635729176109,0.06161073585739386,7.2491490522368025,6.833711028783478,0.8058293427332475,0.8939766734882897,0.08814733075504222,0.07529290240966348
34_ground_truth.json,model_eval_1,10,0.07494387333097008,0.9310025995509867,0.9230769230769231,0.020863590629390666,2.2409809209397444,1.1088709677419415,0.9160776859109073,0.9459275131910662,0.029849827280158836,0.8586149513568915
